,community_id,num_nodes,top_tags,top_countries,sentiment_avg,gdp_avg,temperature_avg
34,34,2,"['melodicrock', 'melodichardrock']","['lesotho', 'burundi', 'japan']",-1.0,1647614.1266666667,14.266666666666667
35,35,2,['metalcore'],"['djibouti', 'yemen']",5.375263157894737,12216.394999999999,25.925
36,36,2,"['acoustic', 'blues', 'indie', 'fun', 'favorite', '90s', 'jam', 'favs', 'malevocalists', 'funkypop']","['guyana', 'angola', 'bahrain', 'bangladesh', 'belize', 'botswana', 'cameroon', 'china', 'denmark', 'dominicanrepublic']",5.836909090909092,1882514.2589999996,20.979999999999997
37,37,2,"['americana', 'aboutahorseandotheranimals', 'folk', 'yellow', 'southerngothic', 'discover', 'gothicamericana', 'dobratarrantela', 'tremblationinterieur', 'manupoda']","['tajikistan', 'malawi']",-1.0,10686.494999999999,14.149999999999999
38,38,2,"['doommetal', 'traditionaldoommetal', 'metal', 'usa', 'traditionaldoom', 'epicdoommetal', '4', 'penance', 'seventhseal']","['bhutan', 'rwanda', 'togo', 'tonga', 'chad', 'ethiopia']",5.493333333333333,24223.153333333335,21.066666666666666
39,39,2,"['musicworthlisteningtoo', 'souljazz', 'smoothjazztag']","['sudan', 'barbados', 'ghana', 'nigeria', 'palau', 'senegal', 'tonga']",-1.0,83710.00428571427,26.82857142857143
40,40,2,"['harmonicablues', 'bluesharmonicagreats']","['poland', 'cambodia', 'chad', 'iceland', 'mongolia', 'mozambique', 'oman']",-1.0,122187.24571428572,15.942857142857141
41,41,2,"['ggallin', 'powerpop', 'rock', 'punk', 'punkrock', 'undertwominutes', 'poppunk', 'gga', 'manateesandpossums', 'bored']","['albania', 'egypt', 'oman', 'senegal', 'sanmarino']",4.544705882352941,107488.308,19.76
42,42,2,"['gothicrock', 'the69eyes', '69eyes', 'jimmy', 'finnish', 'gothic', 'gothicmetal', 'metal', 'rock', 'nightmares']","['france', 'andorra', 'belgium', 'burundi', 'chad', 'greece']",-1.0,628600.7166666667,14.933333333333335
43,43,2,"['southafricanrock', 'alternativerock', 'rock', 'swedish', 'hardrock', 'loveit', 'lordlex92s']","['chad', 'liechtenstein', 'macedonia', 'mongolia', 'montenegro', 'solomonislands', 'togo', 'tonga', 'senegal']",5.498515873015872,10129.591111111113,17.811111111111114
44,44,2,"['soul', 'neo', 'modernrnb', 'sexy', 'jazzysmooth', 'reminder', 'vocaljazz', 'rb', 'lalahhathaway']","['madagascar', 'afghanistan', 'albania', 'algeria', 'armenia', 'austria', 'azerbaijan', 'bangladesh', 'belarus', 'belgium']",-1.0,185092.534,13.530000000000001
45,45,2,['splender'],"['cameroon', 'swaziland']",6.109719626168224,25089.99,23.0
46,46,2,"['ambient', 'era', 'newage', 'chillout', 'relaxing', 'ethereal', 'love', 'mother', 'life', 'femalevocalists']","['burundi', 'tajikistan']",6.143225806451612,5824.150000000001,13.100000000000001
47,47,2,"['cover', 'covers', 'lwtuacover', 'defacutrost', 'unlabeldj', 'ambient', 'ailenroctriste', 'ionbradio', 'owmyheart', 'uberdepressingshit']","['azerbaijan', 'jordan', 'poland', 'romania', 'serbia', 'ukraine', 'albania', 'andorra', 'argentina', 'australia']",-1.0,337689.789,12.119999999999997
48,48,2,"['soul', 'pop', 'ballad', 'relax', 'itunes', 'belgium', 'belgisch', 'leyers']","['zimbabwe', 'barbados', 'ethiopia', 'gabon', 'grenada', 'ireland', 'malta', 'mauritania', 'netherlands', 'sweden']",5.8134920634920615,233120.292,18.740000000000002
49,49,2,"['suomirock', 'lacrimaindarkness']","['togo', 'finland']",-1.0,153784.22,14.35
50,50,2,"['onlylove', 'ificouldbuildmyworldaroundyou', 'nanamouskouri', 'pianosongs', 'coolgirl', 'reallybadasshardcoremusic', 'schlager', 'greek', 'pop', 'femalevocalists']","['gabon', 'monaco', 'seychelles', 'suriname', 'afghanistan', 'bulgaria', 'ethiopia', 'germany', 'mali', 'rwanda']",5.716629228566318,449425.643,19.13
51,51,2,"['femalevocalists', 'pop', 'mpb', 'easylistening', 'bossanova', 'brazilian', 'chillin', 'motivation', 'somethingsweet', 'somethinglovely']","['gabon', 'uganda', 'benin', 'indonesia', 'malaysia', 'malta', 'mauritius', 'philippines', 'srilanka', 'tajikistan']",5.949848398169337,215098.19499999998,22.715
52,52,2,"['portuguese', 'alternativerock', 'indie', '5starssongs', 'portugal', 'alternative', 'rock', 'close', 'love', 'darkromance']",['portugal'],4.91425230566535,249886.46,15.15
53,53,2,"['70s', '60s', 'superfly', 'mellowcool']","['cuba', 'argentina', 'australia', 'austria', 'azerbaijan', 'belgium', 'bolivia', 'bulgaria', 'burundi', 'canada']",-1.0,538743.125,13.629999999999999
54,54,2,[],"['angola', 'bahrain', 'barbados', 'china', 'ghana', 'haiti', 'jamaica', 'kenya', 'malawi', 'malaysia']",-1.0,1845823.1159999997,23.095
55,55,2,"['edguy', 'superheroes', 'rock', 'powermetal', 'metal', 'heavymetal', 'melodicmetal', 'german', 'hardrock', 'symphonicmetal']","['malawi', 'tajikistan', 'botswana', 'dominica']",-1.0,9883.114999999998,18.0375
56,56,2,"['pop', 'femalevocalists', '80s', 'american', 'chickrock', 'femalevocals', 'agoodday', 'howshemakesmefeel', 'newwave', 'rock']","['solomonislands', 'zimbabwe', 'bahamas', 'bahrain', 'barbados', 'cambodia', 'cameroon', 'china', 'denmark', 'ghana']",5.356498805052919,1836380.1940000001,21.735
57,57,2,"['australian', 'easylistening', '80s', 'alternative', 'poprock', 'inspirational', 'mylife', 'meins', 'ozrock', 'apex']","['swaziland', 'china', 'denmark', 'grenada', 'haiti', 'malaysia', 'mauritius', 'norway', 'oman', 'sanmarino']",5.758396489272778,1911188.3209999998,17.35
58,58,2,"['singer', 'rock', 'pop', 'indie', 'femalevocalists', 'songwriter', 'indiepop', 'mellow', 'acoustic', 'piano']","['australia', 'cambodia', 'iceland', 'jordan', 'macedonia', 'mauritania', 'oman', 'portugal', 'vanuatu', 'grenada']",6.110294117647058,200029.104,19.419999999999998
59,59,2,"['60s', 'rock', 'pop', 'oldies', 's', 'psychedelic', 'british', 'malevocalists', 'closeharmony', 'elvispresley']","['tajikistan', 'botswana', 'kuwait']",-1.0,44106.783333333326,18.349999999999998
60,60,2,"['lovesongs', 'tofollowclosely']","['mozambique', 'algeria', 'angola', 'bahrain', 'bangladesh', 'china', 'denmark', 'dominica', 'ghana', 'haiti']",6.468925619834709,1894201.084,20.855
61,61,2,"['jazz', 'funk', 'drjazzmrfunkmusic', 'fusion', 'awesomeguitarjams', 'free', 'speed', '1970s', 'jazzfusion', 'joyful']","['bhutan', 'cuba', 'malta', 'suriname']",-1.0,32429.825,19.375
62,62,2,"['rock', 'swedish', 'pop', 'ambientrock', 'alongredglare', 'andreasjohnson', 'songsthatgrabbedmyheartandsoulandwillneverletgoagain', 'heartbeat', 'goodnight', 'alltimefavourites']","['malawi', 'benin']",6.175714285714284,15206.18,24.725
63,63,2,"['rock', 'christian', 'christianhiphop', 'christianrock', 'chickrock', 'chirstianrock', 'ccm', 'rocknroll', 'girlrock', 'greatgirls']","['lesotho', 'botswana']",5.550671390013495,10066.16,16.675
64,64,2,"['fun', 'chill', 'lonepalmcoffee', 'altrock', 'discover', 'carbonleaf', 'tri', 'mypopmusic', 'homebrewingmusic']","['afghanistan', 'france', 'morocco', 'austria', 'bolivia', 'costarica', 'elsalvador', 'guatemala', 'italy', 'nepal']",6.01281773135128,592297.957,16.255
